"name";"ModId";"Version";"type";"InternalCategory";"GoC";"FileId";FileName
"Lithium";"360438";"0.7.10";"Mods";"NoOptifine";"True";"3801263";lithium-fabric-mc1.18.2-0.7.10.jar
"MaLiLib";"303119";"0.12.1";"Mods";;"True";"3692220";malilib-fabric-1.18.2-0.12.1.jar
"MAmbience";"317590";"5.0.0";"Mods";;"True";"3667763";Mambience-5.0.0+1.18.2.jar
"MiniHUD";"244260";"0.22.0";"Mods";;"False";"3671392";minihud-fabric-1.18.2-0.22.0.jar
"Mod Menu";"308702";"3.2.2";"Mods";;"True";"3789482";modmenu-3.2.2.jar
"OptiFabric";"322385";"1.13.0";"Mods";;"True";"3717575";optifabric-1.13.0.jar
"OptiFine";"79112116";"HD_U_H7";"Mods";;"True";"72689585957255";OptiFine_1.18.2_HD_U_H7.jar
"Phosphor";"372124";"0.8.1";"Mods";"NoOptifine";"True";"3573395";phosphor-fabric-mc1.18.x-0.8.1.jar
"Potion Descriptions";"414488";;"Mods";;"False";;
"Presence Footsteps";"334259";"1.5.0";"Mods";;"True";"3671978";PresenceFootsteps-1.5.0.jar
"Replay Mod";"82101112";"2.6.5";"Mods";;"True";"5046544653";replaymod-1.18.2-2.6.5.jar
"Roughly Enough Items";"310111";"8.2.471";"Mods";;"False";"3816876";RoughlyEnoughItems-8.2.471.jar
"Shield Corrections Colored";"308471";"1.2.0";"Ressources";;"True";"3346215";Shield+Corrections+[Colored].zip
"Shield Corrections Regular";"308471";"1.2.0";"Ressources";;"True";"3346214";Shield+Corrections+[Colored].zip
"ShulkerBoxTooltip";"315811";"3.0.7";"Mods";;"True";"3709224";shulkerboxtooltip-3.0.7+1.18.2.jar
"Sodium";"394468";"0.4.1";"Mods";"NoOptifine";"True";"3669187";sodium-fabric-mc1.18.2-0.4.1+build.15.jar
"ToolTipFix";"411557";"1.0.4";"Mods";;"False";"3543273";tooltipfix-1.0.4-1.18.jar
"Tweakeroo";"297344";"0.13.3";"Mods";;"False";"3783910";tweakeroo-fabric-1.18.2-0.13.3.jar
